fileName,cameraAngle,medianLeafCount,maxLeafCount,leafAngle,stalkHeight,panicleExsertion
.,NaN,NaN,NaN,NaN,NaN,NaN
..,NaN,NaN,NaN,NaN,NaN,NaN
1-26-18_Sorghum_seed_915-131-PI 658888_2018-02-05_01-42-16_6944600,Vis_SV_144,6,6,123.2231373,735,NaN
1-26-18_Sorghum_seed_915-132-PI 658889_2018-01-26_03-23-10_6702800,Vis_SV_144,2,3,35.09627012,201,229
1-26-18_Sorghum_seed_915-133-PI 658890_2018-01-26_12-20-11_6695400,Vis_SV_36,4,5,58.04971061,410,NaN
1-26-18_Sorghum_seed_915-135-PI 658892_2018-01-29_02-40-30_6792000,Vis_SV_0,4,6,133.1702582,558,NaN
1-26-18_Sorghum_seed_915-136-PI 658893_2018-02-02_11-31-56_6835000,Vis_SV_108,10,13,41.99521161,746,NaN
1-26-18_Sorghum_seed_915-137-PI 658894_2018-02-09_11-57-12_7050500,Vis_SV_0,9,14,44.97395978,641,NaN
1-26-18_Sorghum_seed_915-138-PI 658895_2018-01-29_02-17-07_6791100,Vis_SV_108,8,8,36.10136059,588,NaN
1-26-18_Sorghum_seed_915-139-PI 658896_2018-02-09_01-31-42_7053000,Vis_SV_108,13,15,61.46752405,994,NaN
1-26-18_Sorghum_seed_915-140-PI 658897_2018-02-02_11-36-12_6835200,Vis_SV_36,8,11,81.08508863,656,NaN
1-26-18_Sorghum_seed_915-141-PI 658898_2018-02-09_11-37-27_7049400,NaN,17,20,NaN,NaN,NaN
1-26-18_Sorghum_seed_915-142-PI 658899_2018-02-02_11-34-14_6835100,Vis_SV_72,7,8,129.9215516,632,NaN
1-26-18_Sorghum_seed_915-143-PI 658900_2018-02-05_02-40-28_6946400,Vis_SV_144,5,7,62.03887722,786,NaN
1-26-18_Sorghum_seed_915-144-PI 658901_2018-02-02_11-44-05_6835600,Vis_SV_0,5,7,65.275735,467,179
1-26-18_Sorghum_seed_915-145-PI 658902_2018-01-29_02-58-13_6795600,Vis_SV_72,7,9,58.61067432,404,98
1-26-18_Sorghum_seed_915-146-PI 658903_2018-02-05_02-42-47_6946600,Vis_SV_0,9,13,60.03105393,689,NaN
1-26-18_Sorghum_seed_915-147-PI 658904_2018-01-29_02-25-01_6791500,Vis_SV_144,8,9,20.52095077,647,NaN
1-26-18_Sorghum_seed_915-148-PI 658905_2018-02-07_03-06-14_6996300,Vis_SV_0,3,6,96.32361548,907,NaN
1-26-18_Sorghum_seed_915-149-PI 658906_2018-01-26_12-40-09_6696200,Vis_SV_108,2,2,41.79341436,152,171
1-26-18_Sorghum_seed_915-150-PI 658907_2018-02-05_02-41-14_6946500,Vis_SV_36,5,7,78.16762466,810,NaN
1-26-18_Sorghum_seed_915-151-PI 658908_2018-02-07_02-43-44_6995400,Vis_SV_108,7,9,74.17738759,462,NaN
1-26-18_Sorghum_seed_915-152-PI 658909_2018-02-09_11-39-38_7049600,Vis_SV_36,9,11,53.89511554,943,NaN
1-26-18_Sorghum_seed_915-153-PI 658910_2018-01-26_11-25-13_6693200,Vis_SV_0,4,6,122.4775432,650,NaN
1-26-18_Sorghum_seed_915-154-PI 658911_2018-02-05_02-08-20_6945500,Vis_SV_144,5,5,52.22985464,1143,NaN
1-26-18_Sorghum_seed_915-155-PI 658912_2018-01-26_01-32-26_6698300,Vis_SV_144,11,11,69.18298367,411,NaN
1-26-18_Sorghum_seed_915-156-PI 658913_2018-02-09_12-14-42_7051200,NaN,16,22,NaN,NaN,NaN
1-26-18_Sorghum_seed_915-156-PI 658913_2018-02-09_12-31-43_7052000,NaN,17,21,NaN,NaN,NaN
1-26-18_Sorghum_seed_915-157-PI 658914_2018-02-02_12-20-21_6837200,NaN,NaN,NaN,NaN,NaN,NaN
1-26-18_Sorghum_seed_915-158-PI 658915_2018-02-05_02-52-45_6947000,NaN,12,16,NaN,NaN,NaN
1-26-18_Sorghum_seed_915-160-PI 658917_2018-02-09_10-43-15_7047400,Vis_SV_108,7,9,62.71855586,932,NaN
1-26-18_Sorghum_seed_915-161-PI 658918_2018-02-09_12-29-14_7051900,Vis_SV_0,7,8,37.00108905,997,NaN
1-26-18_Sorghum_seed_915-162-PI 658919_2018-02-09_11-08-03_7048400,Vis_SV_0,7,9,55.1771864,1002,NaN
1-26-18_Sorghum_seed_915-163-PI 658920_2018-02-09_01-36-41_7053200,NaN,13,16,NaN,NaN,NaN
1-26-18_Sorghum_seed_915-164-PI 658921_2018-01-26_12-55-03_6696800,NaN,NaN,NaN,NaN,NaN,NaN
1-26-18_Sorghum_seed_915-165-PI 658922_2018-02-02_11-30-36_6834900,Vis_SV_36,11,12,168.3254924,372,NaN
1-26-18_Sorghum_seed_915-167-PI 658924_2018-02-09_01-29-08_7052900,Vis_SV_144,11,12,119.3114119,946,68
1-26-18_Sorghum_seed_915-168-PI 658925_2018-02-07_01-50-20_6993200,Vis_SV_0,7,7,56.10431714,729,NaN
